"webpage_design","conversion_score"
"D1",58.23
"D1",59.27
"D1",64.93
"D1",60.22
"D1",60.41
"D1",65.42
"D1",61.46
"D1",56
"D1",57.83
"D1",58.59
"D1",63.87
"D1",61.14
"D1",61.27
"D1",60.35
"D1",58.24
"D1",65.65
"D1",61.57
"D1",53.78
"D1",62.22
"D1",58.5
"D1",56.62
"D1",59.31
"D1",56.76
"D1",57.7
"D1",58.02
"D1",54.67
"D1",62.65
"D1",60.49
"D1",56.4
"D1",63.96
"D1",61.35
"D1",59.07
"D1",62.83
"D1",62.78
"D1",62.6
"D1",62.18
"D1",61.75
"D1",59.8
"D1",59.03
"D1",58.8
"D1",57.8
"D1",59.34
"D1",56
"D1",66.86
"D1",63.82
"D1",56.45
"D1",58.73
"D1",58.52
"D1",62.47
"D1",59.74
"D1",60.8
"D1",59.91
"D1",59.86
"D1",64.33
"D1",59.29
"D1",64.8
"D1",55.1
"D1",61.85
"D1",60.39
"D1",60.68
"D1",61.2
"D1",58.41
"D1",58.95
"D1",56.78
"D1",56.61
"D1",60.96
"D1",61.42
"D1",60.17
"D1",62.92
"D1",66.48
"D1",58.45
"D1",52.7
"D1",63.18
"D1",57.76
"D1",57.82
"D1",63.24
"D1",59.1
"D1",56.14
"D1",60.57
"D1",59.56
"D1",60.02
"D1",61.22
"D1",58.83
"D1",62.04
"D1",59.3
"D1",61.05
"D1",63.47
"D1",61.38
"D1",58.97
"D1",63.63
"D1",63.14
"D1",61.73
"D1",60.75
"D1",58.01
"D1",64.3
"D1",58.1
"D1",66.92
"D1",64.85
"D1",59.25
"D1",56.75
"D1",57.75
"D1",60.81
"D1",59.22
"D1",58.9
"D1",56.99
"D1",59.86
"D1",57.52
"D1",54.73
"D1",58.8
"D1",62.91
"D1",58.18
"D1",61.92
"D1",54.88
"D1",59.82
"D1",61.64
"D1",60.95
"D1",60.33
"D1",57.97
"D1",57.31
"D1",56.76
"D1",60.37
"D1",57
"D1",58.45
"D1",59.19
"D1",65.83
"D1",57.94
"D1",60.74
"D1",60.25
"D1",56.96
"D1",59.77
"D1",64.57
"D1",61.43
"D1",60.13
"D1",58.66
"D1",53.51
"D1",63.58
"D1",55.38
"D1",62.34
"D1",66.04
"D1",55.43
"D1",62.22
"D1",59.17
"D1",55.03
"D1",55.21
"D1",54.94
"D1",58.32
"D1",55.38
"D1",62.18
"D1",66.64
"D1",55.93
"D1",62.49
"D1",62.43
"D1",61.05
"D1",56.81
"D1",59.62
"D1",59.11
"D1",61.78
"D1",58.82
"D1",63.09
"D1",58.82
"D1",63.33
"D1",56.68
"D1",56.02
"D1",70.25
"D1",58.68
"D1",60.94
"D1",62.01
"D1",58.47
"D1",61.63
"D1",61.17
"D1",59.32
"D1",60.21
"D1",59.89
"D1",66.73
"D1",57.66
"D1",56.53
"D1",60.12
"D1",60.98
"D1",61.38
"D1",58.55
"D1",56.64
"D1",63.99
"D1",58.89
"D1",57.26
"D1",59.25
"D1",59.38
"D1",63.51
"D1",60.27
"D1",62.38
"D1",58.42
"D1",60.68
"D1",58.97
"D1",60.3
"D1",57.17
"D1",55.85
"D1",66.32
"D1",61.9
"D1",56.04
"D1",58.07
"D1",56.25
"D2",66.95
"D2",64.15
"D2",59.16
"D2",61.72
"D2",58.69
"D2",58.49
"D2",57.51
"D2",58.12
"D2",65.22
"D2",59.83
"D2",60.38
"D2",60.77
"D2",63.9
"D2",58.37
"D2",56.86
"D2",65.3
"D2",58.6
"D2",57.71
"D2",56.09
"D2",55.94
"D2",58.18
"D2",61.95
"D2",63.51
"D2",62.24
"D2",58.85
"D2",60.19
"D2",57.77
"D2",57.73
"D2",62.8
"D2",56.79
"D2",66.18
"D2",59.71
"D2",60.68
"D2",57.66
"D2",58.18
"D2",55.84
"D2",59.42
"D2",61.32
"D2",61.03
"D2",57.53
"D2",57.51
"D2",58.41
"D2",64.73
"D2",56.4
"D2",59.43
"D2",66.02
"D2",59.68
"D2",55.7
"D2",57.9
"D2",61.54
"D2",58.81
"D2",58.22
"D2",58.91
"D2",60.29
"D2",65.05
"D2",59.72
"D2",63.42
"D2",61.99
"D2",59.64
"D2",55.15
"D2",58.35
"D2",58.45
"D2",60.15
"D2",64.11
"D2",67.25
"D2",64.89
"D2",59.58
"D2",54.45
"D2",58.77
"D2",60.28
"D2",62.67
"D2",63.04
"D2",62.16
"D2",55.59
"D2",62.69
"D2",58.59
"D2",60.55
"D2",60.24
"D2",61.35
"D2",60.08
"D2",54.73
"D2",62.33
"D2",61.22
"D2",59.16
"D2",60.37
"D2",60.42
"D2",60.7
"D2",65.19
"D2",59.31
"D2",60.53
"D2",63.69
"D2",63.33
"D2",63.62
"D2",58.17
"D2",66.33
"D2",60.21
"D2",65.9
"D2",55.73
"D2",60.07
"D2",63.95
"D2",57.74
"D2",57.62
"D2",57.03
"D2",56.67
"D2",58.62
"D2",61.05
"D2",53.63
"D2",60.67
"D2",63.91
"D2",66.44
"D2",64.11
"D2",62.39
"D2",54.54
"D2",58.1
"D2",58.89
"D2",62.22
"D2",59.67
"D2",56.02
"D2",65.33
"D2",62.88
"D2",60.75
"D2",63.85
"D2",55.77
"D2",62.09
"D2",58.35
"D2",62.16
"D2",59.81
"D2",62
"D2",64.22
"D2",60.02
"D2",63.22
"D2",56.24
"D2",57.72
"D2",64.8
"D2",61.19
"D2",53.51
"D2",55.69
"D2",59.37
"D2",62.74
"D2",59.68
"D2",61.97
"D2",63.03
"D2",65.28
"D2",60.18
"D2",59.84
"D2",54.46
"D2",60.31
"D2",58.19
"D2",56.92
"D2",59.43
"D2",63.21
"D2",53.7
"D2",58.65
"D2",60.37
"D2",57.18
"D2",61.06
"D2",61.3
"D2",59.9
"D2",52.2
"D2",68.13
"D2",59.35
"D2",62.06
"D2",60.87
"D2",63.24
"D2",62.59
"D2",59.34
"D2",61.2
"D2",57.01
"D2",62.71
"D2",58.54
"D2",67.64
"D2",54.78
"D2",58.53
"D2",62.61
"D2",61.61
"D2",58.14
"D2",56.85
"D2",60.46
"D2",59.95
"D2",54.34
"D2",60.11
"D2",60.6
"D2",60.55
"D2",56.66
"D2",61.51
"D2",64.36
"D2",61.44
"D2",56.41
"D2",58.62
"D2",61.09
"D2",57.95
"D2",53.18
"D2",62.8
"D2",57.38
"D2",58.19
"D2",64.76
"D2",57.55
"D2",62.67
"D2",56.01
"D2",58.88
"D3",59.77
"D3",56.3
"D3",57.99
"D3",59.91
"D3",62.12
"D3",54.78
"D3",58.89
"D3",62.39
"D3",58.3
"D3",60.72
"D3",61.56
"D3",60.85
"D3",62.07
"D3",59.61
"D3",58.69
"D3",51.64
"D3",59.71
"D3",61.36
"D3",61.69
"D3",58.24
"D3",65.63
"D3",60.91
"D3",60.4
"D3",64.02
"D3",57.73
"D3",58.58
"D3",67.58
"D3",60.04
"D3",65.17
"D3",55.45
"D3",59.4
"D3",61.2
"D3",60.95
"D3",56.82
"D3",60.06
"D3",56.59
"D3",62.25
"D3",63.43
"D3",52.96
"D3",63.91
"D3",56.08
"D3",61.44
"D3",62.09
"D3",59.37
"D3",57.96
"D3",60.52
"D3",61.39
"D3",62.79
"D3",53.51
"D3",54.83
"D3",64.52
"D3",63.31
"D3",61.38
"D3",62.26
"D3",62.9
"D3",51.59
"D3",63.51
"D3",58.47
"D3",60.73
"D3",59.07
"D3",62.76
"D3",58.9
"D3",61.64
"D3",58.76
"D3",56.54
"D3",63.83
"D3",62.34
"D3",65.45
"D3",60.21
"D3",63.56
"D3",66.25
"D3",59.11
"D3",55.82
"D3",59.24
"D3",59.32
"D3",60.48
"D3",65.41
"D3",58.97
"D3",61.18
"D3",59.28
"D3",60.06
"D3",60.99
"D3",64.2
"D3",60.38
"D3",62.25
"D3",62.46
"D3",62.89
"D3",58.18
"D3",65.14
"D3",58.8
"D3",59.67
"D3",64.44
"D3",64.09
"D3",56.55
"D3",57.24
"D3",55.71
"D3",60.58
"D3",60.52
"D3",61.15
"D3",61.75
"D3",58.1
"D3",56.86
"D3",63.25
"D3",62.38
"D3",55.23
"D3",59.7
"D3",57.17
"D3",53.45
"D3",60.47
"D3",59.75
"D3",59.69
"D3",60.68
"D3",62.79
"D3",60.65
"D3",58.05
"D3",57.68
"D3",59.58
"D3",60.98
"D3",56.71
"D3",59.42
"D3",63.06
"D3",59.66
"D3",57.79
"D3",59.13
"D3",63.52
"D3",61.74
"D3",63.91
"D3",60.44
"D3",61.3
"D3",58.23
"D3",61.91
"D3",58.4
"D3",55.51
"D3",60.4
"D3",66.15
"D3",62.53
"D3",63.68
"D3",61.13
"D3",58.08
"D3",59.36
"D3",59.14
"D3",58.52
"D3",62.23
"D3",56.21
"D3",62.74
"D3",62.73
"D3",56.21
"D3",62.02
"D3",67.69
"D3",58.24
"D3",62.67
"D3",57.53
"D3",63.51
"D3",60.79
"D3",65.22
"D3",55.39
"D3",59.84
"D3",58.33
"D3",59.38
"D3",58.01
"D3",57.36
"D3",61.83
"D3",56.56
"D3",64.69
"D3",56.25
"D3",60.32
"D3",61.69
"D3",61.86
"D3",59.05
"D3",60.25
"D3",63.04
"D3",55.39
"D3",57.53
"D3",61.01
"D3",58.59
"D3",64.33
"D3",62.13
"D3",60.23
"D3",55.23
"D3",60.08
"D3",59
"D3",59.68
"D3",56.26
"D3",61.58
"D3",56.71
"D3",59.28
"D3",61.21
"D3",57.52
"D3",61.84
"D3",55.84
"D3",51.11
"D3",61.47
"D3",62.66
"D3",59.1
"D3",61.59
"D3",56.34
"D3",59.6
"D3",53.86
"D3",63.74
"D3",65.88
